source,type,target,confidence,evidence
plant breeders,uses,market intelligence,extracted,enabling breeders and partners to access and apply diverse datasets
humanitarian practitioners,uses,early warning systems,inferred,designed for humanitarian agencies and international NGOs
e-learning,addresses,soil health,extracted,course addresses the critical knowledge gap in soil health understanding
CGIAR,collaborates_with,International Institute of Tropical Agriculture,extracted,developed by CGIAR's Sustainable Farming Program in collaboration with IITA and IRRI
community conversations,targets,pastoralist communities,extracted,CCs were piloted to explore pastoralist communities' awareness of zoonotic risks
pastoralist communities,located_in,Ethiopia,extracted,cross-border areas of Ethiopia and Kenya are home to pastoralist communities
pastoralist communities,located_in,Kenya,extracted,cross-border areas of Ethiopia and Kenya are home to pastoralist communities
one health approach,addresses,zoonotic disease transmission,extracted,"One Health for Humans, Environment, Animals and Livelihood project"
IITA,uses,Seed Tracker,extracted,virtual training event was organized by IITA on Seed Tracker tool
Seed Tracker,targets,seed companies,extracted,training delivered to seed companies for monitoring certified seed production
ICARDA,uses,participatory scenario development,extracted,workshop used participatory scenario development methodologies
food systems foresight,located_in,Tunisia,extracted,co-development of future food security scenarios for Tunisia
difference-in-differences analysis,located_in,Guatemala,extracted,baseline of an impact evaluation designed under a DiD approach in Guatemala
Urochloa hybrids,targets,smallholder farmers,inferred,adoption by farmers in SAAF focal countries
variety registration,located_in,Kenya,extracted,Kenya officially registers two new Urochloa forage hybrids
climate-linked credit scoring,targets,microfinance institutions,extracted,tool enables microfinance institutions to assess exposure and vulnerability
climate-linked credit scoring,located_in,Guatemala,extracted,digital credit risk scoring innovation for Guatemala's livestock sector
Forager system,uses,barley,extracted,hydroponic barley forage production system
hydroponic forage production,produces,livestock feed,inferred,producing over 200 kg of fresh forage for livestock farmers
spatial targeting,addresses,soil acidity,extracted,targeting soil acidity investments at scale in Kenya
ex ante economic analysis,located_in,Sub-Saharan Africa,extracted,mapping expected returns to fertilizer investments across Sub-Saharan Africa
protein consumption adequacy,located_in,semi-arid tropics,extracted,protein consumption among households in Indian rural semi-arid tropics
vulnerability assessment,targets,refugee-hosting communities,extracted,Integrated Host Community Vulnerability Framework for refugee-hosting communities
social valuation,addresses,climate mitigation,extracted,measuring smallholder dairy farmers' social valuation of climate mitigation
ecosystem service valuation,located_in,Medjerda watershed,extracted,economic evaluation of services in the Medjerda Water Basin
CIAT,uses,vision-to-action approach,extracted,CIAT facilitated a participatory workshop using the Vision-to-Action (V2A) approach
vision-to-action approach,produces,participatory monitoring and evaluation,extracted,workshop focused on finalizing action plan and establishing participatory M&E systems
multifunctional landscapes,uses,participatory monitoring and evaluation,extracted,M&E indicators and methods specific to the MFL project
WorldFish,collaborates_with,Timor-Leste,extracted,WorldFish hosted workshop with government partners in Timor-Leste
rangeland restoration,uses,LandPKS,extracted,conducting baseline rangeland assessments using the Land Potential Knowledge System
participatory rangeland management,targets,pastoralist,extracted,training engaged pastoralist farmers and livestock keepers
CacaoDiversity,supports,agroforestry co-design,extracted,CacaoDiversity co-design tool to support implementation of diversified cacao agroforestry systems
agroforestry co-design,targets,smallholder farmer,extracted,aligned with producer needs and market demand
cacao,part_of,agroforestry co-design,extracted,diversified and participatory cacao agroforestry systems
policy coherence,addresses,multifunctional landscapes,extracted,Policy Coherence Study on MFL through dialogue with farmers
strategic foresight,addresses,agroecological transition,inferred,strategic roadmap for sustainable and innovative intervention by 2045
mechanized direct seeding,uses,fertilizer deep placement,extracted,integration of mechanized direct seeding and fertilizer deep placement
rice,part_of,mechanized direct seeding,extracted,technology reduces seed rates and fertilizer use for rice production
CIP,provides,integrated crop management,extracted,CIP organized training on integrated potato crop management
potato,part_of,integrated crop management,extracted,integrated potato crop management for farmers
geographical indications,addresses,olive,extracted,development of geographical indications for olive oil
value chain analysis,targets,goat,extracted,participatory diagnosis workshop of the goat value chain
mechanization hire services,targets,smallholder farmer,extracted,most target clients are semi-commercial farmers with small to medium plots
circular bioeconomy,addresses,agroecological transition,inferred,nature-positive innovations in circular agrifood systems
community conversations,addresses,one health,extracted,enables communities to act on interconnected health challenges affecting humans and animals
service delivery integration,addresses,cacao,extracted,integrated service delivery in the Cameroonian cocoa sector
ILRI,located_in,Kenya,extracted,funded by International Livestock Research Institute
Wajir County,located_in,Kenya,extracted,"pastoralist communities in Wajir County, Kenya"
gPM+,targets,Ethiopia,extracted,gPM+ psychotherapy intervention for PSNP clients in post-conflict Tigray
CGIAR,produces,economic impact assessment,extracted,CGIAR investments have delivered substantial economic benefits
capacity building,uses,agroecology,extracted,provide DyTAES members with better understanding of agroecology
business plan development,targets,smallholder farmers,extracted,Develop a business plan with the farmers
International Potato Center,located_in,Peru,extracted,"training sessions for technical staff in Cusco, Peru"
disease and pest management,targets,potato,extracted,managing potato diseases and insect pests
IFPRI,uses,randomized evaluation,extracted,IFPRI-generated evidence from a cluster-randomized evaluation
school feeding programs,located_in,Yemen,extracted,adding fortified milk to existing school feeding program
Banana Bunchy Top Disease,targets,banana,extracted,Reviving Banana Bunchy Top Disease affected fields
forest management practices,produces,pollination services,extracted,effects of forest and landscape management practices on pollinators
participatory scaling,located_in,Senegal,extracted,scaling up innovative approach to salt land recovery in Fatick
conservation agriculture,located_in,Tunisia,extracted,large-scale adoption of conservation agriculture in Tunisia
CIMMYT,uses,shared services,extracted,CIMMYT is the primary coordinator
AfricaRice,located_in,West Africa,extracted,providing coordination and support for genotyping services in West Africa
WFP,collaborates_with,IFPRI,extracted,WFP works closely with IFPRI
anticipatory action,addresses,food system analytics,inferred,evidence on acting earlier and relative benefits of response modalities
capacity building,targets,smallholder farmers,extracted,train 156 farmers and 26 Trainers of Trainers
biodiversity integration,located_in,Kenya,extracted,training modules applied in Kiambu and Makueni
SPC,produces,island food systems,extracted,creation and curation of databases by SPC
climate-food nexus,located_in,Pacific Islands,extracted,climate change impacts in Pacific region
meat inspectors,uses,hygiene oversight,extracted,leverages presence of meat inspectors to conduct hygiene training
hygiene oversight,located_in,Kenya,extracted,meat inspectors present in all licensed slaughter facilities in Kenya
Directorate of Social Development,uses,social protection policy,extracted,strengthen government capacity for policy design
agricultural mechanization,located_in,Ghana,extracted,Survey of agricultural mechanization services in northern Ghana
IFPRI,uses,capacity building,extracted,IFPRI and partners trained 95 enumerators
enumerators,located_in,Ethiopia,extracted,implement large community and household survey in Ethiopia
refugee policy impact,located_in,Sub-Saharan Africa,inferred,evidence on political impacts of hosting refugees in 16 African countries
discrete choice experiments,uses,willingness to pay,extracted,used discrete choice experiments to elicit preferences and estimated willingness to pay
Peste des petits ruminants,targets,smallholder farmers,extracted,Small ruminants in Uganda are affected by highly contagious disease
Arachis hypogaea,uses,marker-assisted selection,extracted,expedited precision through marker-assisted selection in groundnut
single nucleotide polymorphisms,uses,genomic selection,extracted,"5,081 SNPs for genomic selection and marker-assisted selection"
polymorphism information content,part_of,single nucleotide polymorphisms,extracted,SNPs selected based on higher polymorphism information content
systems approach,addresses,smallholder farmers,extracted,heterogeneity in smallholder farming systems requires systems-based approaches
Maharashtra,located_in,India,inferred,Evidence from Maharashtra and Telangana shows yield gaps
AgWise,targets,smallholder farmers,extracted,actionable advisories that directly improve planting decisions for smallholder farmers
AgWise,located_in,Ethiopia,extracted,"Tested across Ethiopia, Kenya, Zambia, and Rwanda"
IFPRI,produces,gender-sensitive measurement,extracted,IFPRI developed framework to measure gender-sensitive climate adaptation
CGIAR Scaling Fund,uses,responsible scaling,extracted,anchored in CGIAR's commitment to responsible and demand-driven scaling
CGIAR Scaling Fund,collaborates_with,ENABEL,extracted,complemented by strategic partnership with ENABEL
vulnerability indexing,part_of,systems approach,extracted,Critical analytical tools include vulnerability indexing
bio-economic modeling,part_of,systems approach,extracted,whole-farm bio-economic modeling as analytical tool
Western Rajasthan,uses,integrated farming systems,extracted,integrated farming systems approach offers promising pathways
regenerative agriculture,part_of,integrated farming systems,extracted,promoting regenerative agriculture principles
agri-voltaic systems,part_of,integrated farming systems,extracted,harnessing agri-voltaic farming systems
African Fertilizer and Soil Health Action Plan,targets,smallholder farmers,inferred,ensure equitable benefits for women and youth
agroecology,uses,FABLE Calculator,extracted,"Using FABLE Calculator, we modeled impact of diversified cropping practices"
IITA,collaborates_with,IWMI,extracted,"representatives of CGIAR (IITA, IWMI and IFPRI)"
IWMI,collaborates_with,IFPRI,extracted,"representatives of CGIAR (IITA, IWMI and IFPRI)"
multifunctional landscapes,located_in,Mbire District,extracted,"multifunctional landscapes of Mbire District, Zimbabwe"
CIMMYT,collaborates_with,multifunctional landscapes,extracted,development partners including CIMMYT
participatory governance,uses,multifunctional landscapes,extracted,district-level participatory governance can operationalize MFL objectives
IWMI,located_in,Tajikistan,extracted,"conference held in Dushanbe, Tajikistan with IWMI contribution"
small-scale irrigation,located_in,Nigeria,extracted,potential of small-scale irrigation in Nigeria
small-scale irrigation,targets,smallholder farmers,inferred,accelerate small-scale irrigation diffusion
feed and forage innovations,targets,mixed farming systems,extracted,innovations in mixed farming systems in selected regions in Ethiopia
water-energy-food-environment nexus,uses,science-policy interface,extracted,Science to Policy Interface: Influencing Global Dialogue
IWMI,produces,Water Productivity Atlas,extracted,development and application of the Water Productivity Atlas for district-level analysis in India
IRRI,uses,Direct Seeded Rice,extracted,potential of Direct Seeded Rice (DSR) to enhance water productivity
Direct Seeded Rice,produces,water productivity,extracted,DSR to enhance water productivity
ILRI,addresses,water productivity,extracted,enhance milk water productivity in Nepal
agricultural water management,located_in,Africa,extracted,implementing agricultural water management across Africa
India,uses,circular economy,extracted,transition toward circular economy principles in agriculture
circular economy,uses,regenerative agriculture,extracted,circular economy approach integrates regenerative agriculture
nutritional adequacy ratio,targets,Bangladesh,extracted,potential NAR was measured for different regions of Bangladesh
Pakistan,uses,digital water body inventory,extracted,Digital Water Body Inventory System Adopted by Pakistan Government Agencies
FAO,produces,integrated herd health packages,extracted,FAO selected CGIAR's integrated herd health packages as one of 50 outstanding innovations
integrated herd health packages,uses,one health approach,extracted,packages address livestock health challenges through a One Health approach
CGIAR,collaborates_with,Peru,extracted,CIFOR-ICRAF and the Alliance of Bioversity International and CIAT successfully influenced Peru's Ministry of Environment
participatory rangeland management,located_in,Tunisia,extracted,implement and improve the Participatory Rangeland Management (PRM) approach in Tunisia
crop type mapping,uses,random forest classification,extracted,integrating it with a detailed field plot inventory to calibrate a Random Forest classification model
crop type mapping,located_in,Oaxaca,extracted,applied very high resolution satellite imagery in the Mixteca region of Oaxaca
Kenya,uses,gender-responsive programming,extracted,Kenya adopted a National Gender and Climate Change Action Plan
CIMMYT,produces,e-Agrology,extracted,implementation is supported by the digital platform e-Agrology
CIMMYT,produces,Tractilus,extracted,"designing, implementing, and validating Tractilus, a digital platform"
e-Agrology,targets,smallholder farmers,inferred,"benefited 30,832 producers across the three countries"
home-grown school feeding,uses,gender-responsive programming,extracted,framework to conceptualize gender considerations in home-grown school feeding programs
floodwater management,located_in,Bangladesh,extracted,Floodwater management offers a promising opportunity for Bangladesh's agriculture
constructed wetlands,produces,hydrological resilience,inferred,wetlands must be central to building hydrological resilience
IRRI,collaborates_with,World Bank,extracted,Scaling NextGen Rice Impact Program bridges the gap between livelihoods and climate mitigation
climate-smart agriculture,addresses,climate change,extracted,transform the rice industry into a climate-smart system
rice,supports,smallholder farmers,extracted,Rice supports four billion people and 144 million jobs
antimicrobial resistance surveillance,uses,one health approach,extracted,scale up AMR surveillance in aquaculture under a One Health approach
WorldFish,develops,AMR AquaShield,extracted,"WorldFish in collaboration with Massey University, developed AMR AquaShield"
positive deviance approach,targets,smallholder farmers,extracted,"identifies and supports farmers already developing scalable, locally appropriate solutions"
ILRI,implements,positive deviance approach,extracted,International Livestock Research Institute's (ILRI) Climate Adaptation Pioneers program
participatory learning,addresses,antimicrobial stewardship,extracted,"participatory learning activities regarding antimicrobial use, biosecurity, and disease prevention"
tilapia,located_in,Bangladesh,extracted,"surveying 116 commercial tilapia farms in Mymensingh, Bangladesh"
CGIAR,influences,climate policy,extracted,CGIAR's Climate Action Area of Work 1 ensuring that rigorous evidence informs global climate decision-making
climate services,uses,earth observation,extracted,"Using satellite imagery, socio-economic insights, and logistical analysis"
Alliance of Bioversity and CIAT,develops,Eolo platform,extracted,Developed by the Alliance of Bioversity and CIAT under the AgriLAC initiative
climate forecasting,supports,agricultural planning,inferred,supporting farmers and policymakers in making informed decisions for agricultural planning
AgroTutor GenAI,enables,digital advisory services,extracted,lets local projects build their own GenAI/RAG advisory chatbots
CS-PAT,strengthens,climate services,extracted,designed to assess and strengthen national and subnational climate services ecosystems
FABLE Calculator,analyzes,sustainable food systems,extracted,modeling tool used to analyze sustainable food and land use pathways
participatory rangeland management,targets,pastoralists,extracted,"supporting 500,000 pastoralists, and establishing inclusive rangeland management committees"
IGAD,adopts,participatory rangeland management,extracted,commit to prioritise and apply CGIAR innovation Participatory Rangeland Management
Kenya,implements,participatory rangeland management,extracted,Government of Kenya prioritises CGIAR innovation Participatory Rangeland Management
IFPRI,supports,climate finance taxonomy,extracted,IFPRI contributed technical inputs on integrating smallholder farmer needs into private sector climate finance
gender mainstreaming,addresses,climate adaptation,extracted,systematically integrate gender considerations into climate-resilient agriculture policy-making
living lab,promotes,climate-smart agriculture,extracted,collaborative platform where practical demonstrations showcase climate-smart innovations
aquaculture development,uses,earth observation,extracted,"integrating diverse datasets, including EO-derived information and socio-economic data"
renewable energy solutions,addresses,water scarcity,extracted,"solar-powered lift system that pumps water uphill, providing reliable access to clean water"
IWMI,located_in,Nepal,extracted,IWMI partnered with local government to pilot an innovative solar-powered lift system
breeding objective,targets,smallholder farmer,extracted,breeding objectives for smallholder and large commercial farms
breeding objective,targets,large commercial farm,extracted,breeding objectives for smallholder and large commercial farms
trait preference ranking,uses,multinomial ordered logit regression,extracted,multinomial ordered logit regression model was employed to analyze preference ranking order
dairy cattle,located_in,Ethiopia,extracted,dairy cattle herds in Ethiopian highlands
biofortification,targets,potato,extracted,biofortified potato varieties with elevated iron content
International Potato Center,located_in,Peru,extracted,Led by the International Potato Center (CIP) in collaboration with INIA
MapAWD,produces,International Rice Research Institute,extracted,developed by International Rice Research Institute
alternate wetting and drying,addresses,water balance model,extracted,uses a water balance model to map climatically favorable areas for water-saving rice cultivation
rice,uses,alternate wetting and drying,extracted,water-saving rice cultivation methods
PaddyWA+,is_a,water balance model,extracted,"PaddyWA+ Model is a new 30-m, daily water balance model designed for paddy systems"
SECTOR,produces,International Rice Research Institute,extracted,developed by International Rice Research Institute
single-step genome-wide association study,targets,dairy cattle,extracted,single-step genome-wide association study of milk somatic cell scores across multi-cattle breeds
somatic cell score,related_to,dairy cattle,extracted,milk somatic cell score in dairy cattle
machine learning model,addresses,flood prediction,extracted,machine learning model that predicts the extent of tropical cyclone-induced inundation
rice,located_in,Philippines,extracted,typhoon-induced flooding in rice production areas
AgWISE,uses,seasonal climate forecast,extracted,integration of seasonal climate forecast information into the AgWISE decision support tool
AgWISE,located_in,Ethiopia,extracted,agricultural advisory services in Ethiopia and Kenya
AgWISE,located_in,Kenya,extracted,agricultural advisory services in Ethiopia and Kenya
digital transformation,part_of,CGIAR,extracted,CGIAR's 2030 Research and Innovation Strategy positions the digital revolution
generative artificial intelligence,part_of,digital transformation,inferred,opportunities and risks in using genAI in CGIAR research
early warning system,targets,smallholder farmer,extracted,digital early warning system for Ethiopian dryland farmers
Alliance of Bioversity and CIAT,produces,early warning system,extracted,Alliance of Bioversity and CIAT developed an innovative digital early warning system
circular economy,targets,rice,extracted,regional learning alliance on rice straw circular economy
International Rice Research Institute,collaborates_with,Vietnam,extracted,IRRI organized learning alliance with stakeholders from Vietnam
rapid stem multiplication,targets,cassava,extracted,cassava rapid stem multiplication tunnel manuals
cassava,located_in,Vietnam,extracted,manuals published in Vietnamese for cassava multiplication
nature-based solutions,uses,monitoring and evaluation framework,extracted,Nature-based Solutions (NbS) Monitoring & Evaluation (M&E) framework
Kenya,uses,nature-based solutions,extracted,Kenya is piloting a national Nature-based Solutions framework
satellite-based crop insurance,targets,smallholder farmer,extracted,satellite-based crop insurance and agro-advisory services for farmers
Philippines,uses,satellite-based crop insurance,extracted,Philippine government adopts satellite-based crop insurance
precision agriculture,uses,generative artificial intelligence,extracted,AI and availability of low-cost sensors have renewed interest in precision agriculture
digital extension,uses,generative artificial intelligence,extracted,Conversational agents such as chatbots are being explored as digital extension solutions
IRRI,produces,alternate wetting and drying,extracted,two climate-smart rice farming innovations developed by IRRI
Cambodia,uses,climate-smart agriculture,extracted,Cambodia's NDC includes IRRI climate-smart rice farming innovations
alternate wetting and drying,addresses,greenhouse gas emission measurement,extracted,practices help reduce greenhouse gas emissions from rice production
Vietnam,uses,alternate wetting and drying,extracted,Vietnam included IRRI's AWD technique in official program
CGIAR,collaborates_with,Cambodia,extracted,IRRI delivered training as part of CGIAR Scaling for Impact Program
capacity building,targets,extension agents,extracted,training 20 agricultural extension officers
multi-stakeholder platform,addresses,scaling pathways,extracted,PAASS convenes multiple actors for joint prioritization and scaling
digital extension,uses,Rice Crop Manager,extracted,digital tools including Rice Crop Manager for optimized production
innovation bundling,addresses,mixed farming systems,extracted,"integrating technical, digital, and institutional solutions"
IRRI,collaborates_with,CIMMYT,extracted,"IRRI, CIMMYT, and CIP participated in collaborative workshop"
gender and social inclusion,targets,MENA Region,extracted,Gender and Social Inclusion Learning Agenda for MENA Region
climate attribution,addresses,Sub-Saharan Africa,extracted,framework enables African nations to scientifically attribute extreme weather
smallholder farmers,uses,traditional knowledge systems,inferred,traditional milk processing practices in Borana pastoral area
land restoration,located_in,Wajir County,extracted,ILRI conducted training for community members in Wajir County
policy integration,produces,scaling pathways,inferred,inclusion in official climate commitments creates pathway for wider adoption
SRE Tool,targets,cassava,extracted,seed production planning for vegetatively propagated crops such as cassava
Brazil,uses,climate disinformation monitoring,extracted,Brazil integrated CGIAR climate disinformation monitoring practices
participatory methods,targets,smallholder farmers,extracted,community members learned to assess land condition through participatory methods
rice,part_of,mixed farming systems,inferred,mixed crop-livestock-tree systems include rice production
ILRI,located_in,Kenya,extracted,"ILRI conducted training sessions in Wajir County, Kenya"
livestock production,produces,nutrition security,extracted,livestock production sector plays a crucial role in ensuring nutrition security
salinity intrusion,addresses,fodder cultivation,extracted,salinity issues significantly hinder both agricultural and economic development
Bangladesh,located_in,livestock production,extracted,livestock production sector plays a crucial role in ensuring nutrition security in Bangladesh
mechanical transplanting,addresses,rice,extracted,mechanical rice transplanting holds significant importance for Bangladesh
IITA,collaborates_with,São Tomé and Príncipe,extracted,training workshop on data management was organized in São Tomé and Príncipe
agrodealers,uses,technology diffusion,extracted,"small retailers from stocking newer, less familiar products, limiting the availability of innovative technologies"
drought tolerant maize hybrids,targets,smallholder farmers,inferred,discount increased the likelihood that the agrodealer stocked the new hybrids
CGIAR,collaborates_with,OPAPRU,extracted,OPAPRU signed a formal agreement with CGIAR
conflict sensitivity,addresses,Mindanao,extracted,incorporate climate resilience strategies into peacebuilding policies
integrated farming system,uses,Bangladesh,extracted,Sorjan method is an integrated sustainable farming system
direct seeded rice,addresses,climate-smart agriculture,extracted,climate-smart dry direct-seeded rice systems
FOFIFA 198,produces,flood tolerance,extracted,flood-tolerant rice variety developed to help farmers
AfricaRice,uses,participatory varietal selection,extracted,participatory varietal selection (PVS) activities
ICRISAT,uses,carbon footprint assessment,extracted,carbon footprint calculator designed to quantify emissions
Honduras,uses,adaptive social protection,extracted,Honduras' first Adaptive Social Protection Policy
IRRI,uses,scaling pathways,extracted,scaling low-emission rice solutions
Makueni County,uses,gender transformative approaches,extracted,gender-transformative socio-technical innovation bundles
KALRO,collaborates_with,Makueni County,extracted,Kenya Agricultural and Livestock Research Organization (KALRO)
responsible innovation,part_of,CGIAR,extracted,embedding responsible innovation and scaling within the CGIAR
crop intensification,uses,short-duration aman rice,extracted,short-duration aman rice cultivation as an effective strategy for crop intensification
capacity development,targets,smallholder farmers,inferred,training programs and demonstrations for farmers
value chain analysis,uses,rice,extracted,carbon footprint of the rice value chain
GIFT,located_in,Nigeria,extracted,"GIFT Satellite Hatchery in Bayelsa State, Nigeria"
climate-smart agriculture,addresses,salinity intrusion,extracted,"climate-smart agricultural practices, such as using salinity-resistant varieties"
high-performance liquid chromatography,uses,phenolic compound extraction,extracted,"extraction process, drying, identification, and quantification of the main phenolic compounds in common beans using HPLC"
Rice Crop Manager,targets,Vietnam,extracted,"evaluation of the RCM in Vietnam, focusing on field trials in the MRD"
site-specific fertilizer recommendation,addresses,maize,extracted,evaluated performance of fertiliser recommendation strategies for maize production across Rwanda
Phytophthora infestans,targets,potato,extracted,"causal agent of late blight, a major threat to potato production worldwide"
population genetics analysis,uses,Phytophthora infestans,extracted,"populations were characterized by clonal lineage, mitochondrial haplotype, and mating type"
fungicidal seed treatment,addresses,common bunt,extracted,impact of six seed-treatment fungicides was evaluated against common bunt
common bunt,targets,wheat,extracted,evaluated against common bunt on four wheat varieties
payments for environmental services,targets,smallholder farmer,inferred,support the use of sustainable agricultural practices
systematic agrobiodiversity monitoring,addresses,on-farm conservation,extracted,"systematic monitoring of on-farm crop diversity to understand where, how, and under what conditions agrobiodiversity is conserved"
International Potato Center,collaborates_with,AGROSAVIA,extracted,CIP played a central role by presenting concrete methodologies and tools
zero tillage,uses,rice,extracted,zero tillage with rice-straw mulch creates a microenvironment
conservation agriculture,located_in,Indo-Gangetic Plains,extracted,"evaluated four tillage-mulching systems over three consecutive growing seasons at ICAR CPRI RS Patna, Bihar"
banana,located_in,Northwest Vietnam,extracted,"agrobiodiversity richness associated with four key crops—banana, taro, pumpkin, and mustard green—in Northwest Vietnam"
landscape performance indicators,located_in,Tunisia,extracted,identifying and agreeing on locally relevant landscape performance indicators within the Kef–Siliana landscape
Cyclone Idai,targets,Mozambique,extracted,"Cyclone Idai, one of the deadliest and costliest disasters in Mozambique's history"
disaster impact assessment,uses,Cyclone Idai,extracted,examines how exposure to a major natural disaster—Cyclone Idai affected household well-being
Phureja,located_in,Colombia,extracted,"conducted with the Indigenous Pasto People of the Cumbal Indigenous Reserve, municipality of Cumbal (Nariño, Colombia)"
morphological characterization,uses,Phureja,extracted,morphological characterization was carried out through participatory field sessions using standardized descriptors
genetic fingerprinting,uses,Phureja,extracted,"plant photographs, genetic fingerprints and ethnobotanical information was obtained"
community of practice,targets,Latin America and Caribbean,extracted,Community of Practice of national germplasm banks in Latin America and the Caribbean
digital sequence information,uses,community of practice,extracted,strengthen regional capacity for generating and interpreting digital sequence information
IRRI,collaborates_with,Bangladesh,extracted,Convened jointly by BARC and the International Rice Research Institute (IRRI)
innovation scaling,targets,CGIAR,extracted,support country-led prioritization of mature and high-potential CGIAR innovations for accelerated scaling
on-farm conservation,uses,systematic agrobiodiversity monitoring,extracted,"systematic, participatory monitoring supported by standardized methods is essential for sustaining agricultural biodiversity"
RiceAdvice Lite,produces,site-specific fertilizer recommendations,extracted,RiceAdvice Lite for location specific recommendations on fertilizer application
extension agents,uses,RiceAdvice Lite,extracted,Training of extension agents and private sector on RiceAdvice Lite
AgWise,uses,Google Earth Engine,extracted,All data acquisition is performed using the Google Earth Engine (GEE) platform
AgWise,produces,site-specific fertilizer recommendations,extracted,generates site-specific nutrient and fertilizer recommendations
conservation agriculture,addresses,soil health assessment,inferred,conservation farming practices was the most effective approach for improving soil health
machine learning models,uses,digital soil mapping,extracted,"Three machine learning (ML) models—Random Forest (RF), XGBoost, and LightGBM were compared"
Random Forest,is_a,machine learning models,extracted,Three machine learning (ML) models—Random Forest (RF)
XGBoost,is_a,machine learning models,extracted,"Three machine learning (ML) models—Random Forest (RF), XGBoost"
farmer-managed natural regeneration,addresses,ecosystem restoration,extracted,FMNR is more than a greening initiative—it is a critical intervention for soil health
CIAT,part_of,CGIAR,extracted,"CIAT, part of the Alliance of Bioversity International and CIAT"
zero deforestation monitoring,located_in,Colombia,extracted,Colombia has formally integrated a digital monitoring system for zero deforestation
climate-smart agriculture,targets,smallholder farmers,inferred,climate-smart rice varieties and smallholder development mentioned throughout
intercropping systems,uses,maize,extracted,integrates forage legumes (cowpea and lablab) with maize through intercropping
intercropping systems,uses,cowpea,extracted,integrates forage legumes (cowpea and lablab) with maize
intercropping systems,uses,lablab,extracted,integrates forage legumes (cowpea and lablab) with maize
alternate wetting and drying,targets,rice,extracted,water-saving practices in rice production
vision-language models,uses,YOLOv8,extracted,Traditional methods like YOLOv8 segmentation require extensive manual labeling
Fusarium,is_a,soil-borne pathogen,extracted,"major soil‐borne pathogens—Fusarium, Pythium"
Pythium,is_a,soil-borne pathogen,extracted,"major soil‐borne pathogens—Fusarium, Pythium"
capacity building,targets,extension agents,extracted,Training of extension agents and private sector
capacity building,targets,researchers,extracted,training delivered to researchers
market segmentation,part_of,target product profile,extracted,"training on market segmentation, target product profile development"
International Potato Center,part_of,CGIAR,inferred,CGIAR research center conducting breeding work
YAPU Solutions,collaborates_with,CGIAR,extracted,"YAPU Solutions, FinTech leader, partnered with CGIAR Initiative"
climate risk assessment,located_in,Guatemala,extracted,"climate-risk credit score piloted in Jutiapa, Santa Rosa and Quiché"
Green Climate Fund,produces,DaIMA,extracted,Green Climate Fund invested USD 358 million in Dairy Intervention for Mitigation and Adaptation (DaIMA) project
agroecology,addresses,climate resilience,extracted,agroecology presents a promising pathway for reconciling agricultural productivity with environmental sustainability
biofortification,addresses,nutritional security,extracted,biofortification strategy focused on developing cultivars enriched in essential micronutrients
multifunctional landscapes,uses,agroecology,extracted,embedding nutrition systematically within agroecology and nature-positive landscape approaches
speed breeding,produces,realized genetic gain,extracted,speed breeding protocol developed reduces the breeding cycle time significantly allowing increased genetic gain
line × tester analysis,uses,combining ability,extracted,101 ICRISAT bred B-lines and two R-line testers were crossed using a line × tester design
ICRISAT,uses,line × tester analysis,extracted,101 ICRISAT bred B-lines and two R-line testers were crossed
IITA,uses,SAH system,extracted,IITA Yam SAH facility received over 940 visitors
solar irrigation,addresses,food security,extracted,solar-powered irrigation systems can tackle food and water security challenges
technology bundling,part_of,solar irrigation,extracted,Six critical bundling elements are identified for scaling solar irrigation
Vendor Business School,targets,food vendor,extracted,CGIAR Resilient Cities Initiative developed and piloted the Vendor Business School program
Digital Agroclimatic Plot,located_in,Guatemala,extracted,located in a semi-arid area of eastern Guatemala
Smart Nkunganire System,located_in,Rwanda,extracted,fertilizer recommendation innovation through the Smart Nkunganire System (SNS) in Rwanda
pearl millet,uses,speed breeding,extracted,developed a repeatable and cost-effective speed breeding protocol for finger millet
groundnut,uses,realized genetic gain,extracted,study was conducted to estimate realized genetic gain using an Elite Replicated Agronomic trial
olive,located_in,Tunisia,extracted,"irrigated olive groves in the Elles community (Kef Governorate), a semi-arid region of Tunisia"
yam,located_in,Nigeria,extracted,high-yielding yam varieties promoted through farmer training across fifteen Nigerian states
IFPRI,uses,water-energy-food-ecosystems nexus,extracted,addressed critical issues in the water-energy-food-ecosystems (WEFE) nexus
World Bank,located_in,Philippines,extracted,World Bank design of USD 1 billion Philippines Sustainable Agriculture Transformation Project
capacity building,targets,smallholder farmer,extracted,"Over 3,500 farmers, including many women and youth, received direct training"
gender-transformative approaches,addresses,food security,extracted,"gender-transformative approaches can drive inclusive, resilient, and profitable agri-food systems"
cost-benefit analysis,uses,agroecology,extracted,employed a cost-benefit analysis to assess agroecological transition scenarios
participatory assessment,located_in,Ghana,extracted,Participatory assessment of maize based innovations in Ghana
digital agriculture,related_to,water-energy-food-ecosystems nexus,extracted,"digital technologies workshop on future of food, land and water systems"
plant breeder,uses,combining ability,extracted,Selection of parents to maximize hybrid performance requires understanding of combining ability
enumerator,uses,Smart Nkunganire System,extracted,training prepares enumerators for Rwanda fertiliser recommendation innovation survey
knowledge exchange,collaborates_with,Australia,extracted,Australian delegates visit IITA for knowledge exchange on yam research
CSA Knowledge Hub,targets,smallholder farmers,extracted,"serves farmers, researchers, policymakers, and development practitioners"
